base_period,latest_period,rate_base,rate_latest,total_change,within_effect,mix_effect,interaction_effect,reconciliation_residual,within_share_of_change,mix_share_of_change
2021.0,2022.0,0.6553676640608295,0.7004450935384418,0.045077429477612285,0.04309896923000642,0.002484036889114768,-0.0005055766415088513,-4.85722573273506e-17,0.9561097367233757,0.055106001338174476
2022.0,2023.0,0.7004450935384418,0.6780954717820712,-0.022349621756370563,-0.022249989089240363,0.0001963902234399422,-0.0002960228905704864,3.434752482434078e-16,0.9955420871003421,-0.008787183317049332
2023.0,2024.0,0.6780954717820712,0.702880866698614,0.024785394916542858,0.021646527279038902,0.003432079051351575,-0.0002932114138473024,-3.157196726277789e-16,0.8733581753257061,0.13847183242018288
2024.0,2025.0,0.702880866698614,0.6631879036098293,-0.03969296308878478,-0.030637737872906336,-0.007551372096213357,-0.0015038531196650757,-1.3877787807814457e-17,0.7718682478900902,0.19024460530503937
