fiscal_year,obligations,real_multiplier,obligations_real,competed_share,competed_obligations,not_competed_obligations,fixed_price_share,cost_reimbursement_share,labor_hour_share,government_risk_share,september_share,q4_share,surge_ratio,september_excess_obligations,setaside_obligations,setaside_share,agency_hhi,agency_cr1,agency_cr4,agency_cr10,agency_gini,vendor_hhi_top100,vendor_cr10,vendor_coverage_share,obligations_yoy_pct,obligations_real_yoy_pct,obligations_index_vs_base,obligations_real_index_vs_base
2021,633159133342.82,1.1790193290922537,746506856602.4844,0.6551371551948592,415021867954.46,218466653744.50995,0.6579047276279352,0.2944320136422797,0.04761109230635951,0.3420431059486392,0.16925641818455409,0.32187803016500277,146.0822021316384,54432046885.200005,46759115176.78,0.07385049462985883,3891.604062047883,0.6110928851264239,0.800077652811268,0.9284877480181999,0.9232589491038352,30.04679658403407,0.13207310833357702,0.4150782988424062,,,100.0,100.0
2022,680531284734.23,1.101075458543849,749316296392.1769,0.7004591818829748,476770916960.67,203883901038.88007,0.6681383996916631,0.2863786583673829,0.04546090418166509,0.331839562549048,0.17936173666503616,0.34698168541857777,154.74310086734553,65354496141.07667,51390131196.0,0.07551472261274447,3872.316077599799,0.6088352825086089,0.8012451853506413,0.9304713203862198,0.9232902390447062,36.15695949218863,0.1521694725809587,0.4219951299218429,7.481871285865305,0.376344807129958,107.48187128586531,100.37634480712995
2023,746493104911.05,1.0522717084185027,785513574827.3832,0.6780938113289383,506371560057.77,240385823062.08997,0.6716167474413733,0.2820073206490316,0.046374996098131095,0.3283823167471627,0.16240330917213194,0.32583375853593344,139.2144659386602,59065729680.613335,58939544981.19,0.0789552436498567,3908.5903166697954,0.6121239050852699,0.7991878413984114,0.9295630656015832,0.9245487349983015,44.295880517413536,0.15691326947833956,0.4217923853466648,9.692694760179954,4.830707487544261,117.89976099213374,105.22523241145123
2024,740949064964.99,1.0261971514633745,760359819846.5236,0.702849373195229,520835316322.77,220198731918.59998,0.6441409239291109,0.30580812331275714,0.05005095275813202,0.3558590760708891,0.1762831651284418,0.35631467569795616,154.3007944925943,68882512705.81416,60762031676.68,0.08200567967455498,3799.911824341824,0.6019913127633089,0.7947007200649681,0.926665137785704,0.9220760002556376,31.73661347639508,0.133831682707347,0.4123042627051223,-0.7426779845100762,-3.2022050015350967,117.02414542345517,101.85570475629481
2025,778427806543.09,1.0,778427806543.09,0.6631740784699914,517229184843.88,262700552514.33997,0.6704602663326984,0.2895523470087448,0.039986203601296774,0.3295385506100416,0.1901759529174591,0.3719868533341146,167.438167486681,83439377103.72165,58320132702.79,0.07492041293049785,4158.157250678515,0.6305598127923169,0.829594417776608,0.9441695831506683,0.9322057652071496,57.590136797038404,0.18712023693311758,0.46343885256602846,5.0582075543709415,2.3762416457268065,122.94346958770241,104.27604243126243
