subagency_key,subagency_name,agency_name,subagency_code,latest_obligations,is_military_department
Department of Justice | Drug Enforcement Administration,Drug Enforcement Administration,Department of Justice,DEA,610375295.97,False
Department of the Treasury | Bureau of the Fiscal Service,Bureau of the Fiscal Service,Department of the Treasury,,577176124.43,False
Department of Homeland Security | U.S. Secret Service,U.S. Secret Service,Department of Homeland Security,USSS,518349859.8,False
Department of Health and Human Services | Health Resources and Services Administration,Health Resources and Services Administration,Department of Health and Human Services,HRSA,492066735.49,False
Department of Defense | Defense Commissary Agency,Defense Commissary Agency,Department of Defense,DECA,470242492.46,False
Department of Defense | Defense Finance and Accounting Service,Defense Finance and Accounting Service,Department of Defense,DFAS,400725290.8,False
Department of the Interior | U.S. Geological Survey,U.S. Geological Survey,Department of the Interior,USGS,373475884.93,False
Department of the Interior | Bureau of Indian Affairs and Bureau of Indian Education,Bureau of Indian Affairs and Bureau of Indian Education,Department of the Interior,,365666233.66,False
Department of Agriculture | Agricultural Research Service,Agricultural Research Service,Department of Agriculture,ARS,346971693.45,False
"Department of Justice | Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",Department of Justice,,324435503.9,False
Department of the Interior | U.S. Fish and Wildlife Service,U.S. Fish and Wildlife Service,Department of the Interior,USFWS,313714718.4,False
Department of Defense | Department of Defense Education Activity,Department of Defense Education Activity,Department of Defense,DODEA,308604541.86,False
Department of Homeland Security | Federal Law Enforcement Training Center,Federal Law Enforcement Training Center,Department of Homeland Security,FLETC,280112505.39,False
Department of Commerce | National Institute of Standards and Technology,National Institute of Standards and Technology,Department of Commerce,NIST,278176347.7,False
Department of Agriculture | Animal and Plant Health Inspection Service,Animal and Plant Health Inspection Service,Department of Agriculture,APHIS,276778606.82,False
Department of Transportation | National Highway Traffic Safety Administration,National Highway Traffic Safety Administration,Department of Transportation,NHTSA,268402995.53,False
Department of Commerce | U.S. Census Bureau,U.S. Census Bureau,Department of Commerce,,261865139.01,False
Department of Transportation | Immediate Office of the Secretary of Transportation,Immediate Office of the Secretary of Transportation,Department of Transportation,OST,249657929.33,False
Department of Defense | Defense Human Resources Activity,Defense Human Resources Activity,Department of Defense,,248683927.03,False
General Services Administration | Office of Administrative Services,Office of Administrative Services,General Services Administration,OAS,235409536.83,False
Department of Health and Human Services | Administration for Children and Families,Administration for Children and Families,Department of Health and Human Services,ACF,215527917.58,False
Department of the Treasury | Office of the Comptroller of the Currency,Office of the Comptroller of the Currency,Department of the Treasury,OCC,207474800.01,False
Department of Agriculture | Rural Housing Service,Rural Housing Service,Department of Agriculture,RHS,205364216.01,False
Department of Justice | Federal Prison Industries / Unicor,Federal Prison Industries / Unicor,Department of Justice,,196104223.2,False
Department of Defense | U.S. Cyber Command,U.S. Cyber Command,Department of Defense,USCYBERCOM,191305151.74,False
Department of Health and Human Services | Substance Abuse and Mental Health Services Administration,Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,SAMHSA,188278022.61,False
Department of Energy | Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,Department of Energy,FERC,155202402.82,False
Department of Justice | Office of Justice Programs,Office of Justice Programs,Department of Justice,OJP,133549071.91,False
Department of State | International Boundary and Water Commission: U.S.-Mexico,International Boundary and Water Commission: U.S.-Mexico,Department of State,IBWC,130063465.99,False
Department of Health and Human Services | Agency for Healthcare Research and Quality,Agency for Healthcare Research and Quality,Department of Health and Human Services,AHRQ,128497652.78,False
Department of Transportation | Federal Transit Administration,Federal Transit Administration,Department of Transportation,FTA,119230241.23,False
Department of Transportation | Federal Motor Carrier Safety Administration,Federal Motor Carrier Safety Administration,Department of Transportation,FMCSA,111652686.95,False
Small Business Administration | Small Business Administration,Small Business Administration,Small Business Administration,SBA,110860869.48,False
Department of Defense | Defense Media Activity,Defense Media Activity,Department of Defense,DMA,85713085.03,False
Department of the Interior | Bureau of Safety and Environmental Enforcement,Bureau of Safety and Environmental Enforcement,Department of the Interior,BSEE,72290480.87,False
Department of Agriculture | Under Secretary for Farm and Foreign Agricultural Services,Under Secretary for Farm and Foreign Agricultural Services,Department of Agriculture,,68440916.95,False
Department of Defense | Immediate Office of the Secretary of Defense,Immediate Office of the Secretary of Defense,Department of Defense,SECDEF,68075235.76,False
Department of Transportation | Federal Railroad Administration,Federal Railroad Administration,Department of Transportation,FRA,66294513.44,False
Department of Housing and Urban Development | Chief Procurement Officer,Chief Procurement Officer,Department of Housing and Urban Development,,59682337.74,False
Department of Defense | Uniformed Services University of the Health Sciences,Uniformed Services University of the Health Sciences,Department of Defense,USUHS,55266808.26,False
Department of Agriculture | Food and Nutrition Service,Food and Nutrition Service,Department of Agriculture,FNS,52593120.73,False
Department of Homeland Security | Office of the Inspector General,Office of the Inspector General,Department of Homeland Security,IG,48781690.34,False
Department of Transportation | Pipeline and Hazardous Materials Safety Administration,Pipeline and Hazardous Materials Safety Administration,Department of Transportation,PHMSA,39094254.35,False
Department of Agriculture | Food Safety and Inspection Service,Food Safety and Inspection Service,Department of Agriculture,FSIS,31512766.53,False
Department of Agriculture | Office of the Inspector General,Office of the Inspector General,Department of Agriculture,OIG,10664130.01,False
Department of Transportation | Saint Lawrence Seaway Development Corporation,Saint Lawrence Seaway Development Corporation,Department of Transportation,SLSDC,10515614.88,False
Department of the Treasury | Office of Inspector General,Office of Inspector General,Department of the Treasury,OIG,9714095.62,False
Department of the Interior | Bureau of Ocean Energy Management,Bureau of Ocean Energy Management,Department of the Interior,BOEM,9284495.97,False
Department of Labor | Office of Inspector General,Office of Inspector General,Department of Labor,OIG,8887946.76,False
Department of Health and Human Services | Office of the Inspector General,Office of the Inspector General,Department of Health and Human Services,OIG,7656728.57,False
Department of Justice | Office of the Inspector General,Office of the Inspector General,Department of Justice,OIG,7542455.67,False
General Services Administration | Office of Inspector General,Office of Inspector General,General Services Administration,OIG,3671147.47,False
"Department of the Interior | Office of Surface Mining, Reclamation and Enforcement","Office of Surface Mining, Reclamation and Enforcement",Department of the Interior,OSMRE,3123056.31,False
Department of the Interior | Office of the Inspector General,Office of the Inspector General,Department of the Interior,OIG,734178.33,False
Department of Labor | Employment and Training Administration,Employment and Training Administration,Department of Labor,ETA,492441.0,False
Department of Defense | Office of the Inspector General,Office of the Inspector General,Department of Defense,OIG,3537.54,False
Department of Agriculture | Farm Service Agency,Farm Service Agency,Department of Agriculture,FSA,-18114.4,False
General Services Administration | Technology Transformation Service,Technology Transformation Service,General Services Administration,TTS,-114704.22,False
Department of Agriculture | Natural Resources Conservation Service,Natural Resources Conservation Service,Department of Agriculture,NRCS,-369076.51,False
Department of Defense | Defense Contract Management Agency,Defense Contract Management Agency,Department of Defense,DCMA,-153575654.05,False
Department of Housing and Urban Development | Department of Housing and Urban Development,Department of Housing and Urban Development,Department of Housing and Urban Development,HUD,-1331998929.39,False
