fiscal_year,fiscal_month,month_name,obligations,annual_total,share,index_vs_even_pace,even_pace,is_september
2025,1,Oct,48725178606.4,780955927779.5801,0.06239171363348993,74.8700563601879,100.0,False
2025,2,Nov,44862673607.17,780955927779.5801,0.057445845548191043,68.93501465782926,100.0,False
2025,3,Dec,63145331155.63,780955927779.5801,0.08085645925649773,97.02775110779727,100.0,False
2025,4,Jan,55508602243.97,780955927779.5801,0.07107776542754786,85.29331851305744,100.0,False
2025,5,Feb,45656189261.56,780955927779.5801,0.058461928051906885,70.15431366228826,100.0,False
2025,6,Mar,54324260801.22,780955927779.5801,0.06956123754086246,83.47348504903496,100.0,False
2025,7,Apr,55568822511.020004,780955927779.5801,0.0711548763948994,85.38585167387927,100.0,False
2025,8,May,59788025785.840004,780955927779.5801,0.07655749019772445,91.86898823726935,100.0,False
2025,9,Jun,62871505639.42,780955927779.5801,0.08050583061476561,96.60699673771873,100.0,False
2025,10,Jul,71860139185.81,780955927779.5801,0.09201561397980972,110.41873677577165,100.0,False
2025,11,Aug,70126161229.52,780955927779.5801,0.08979528643684573,107.75434372421486,100.0,False
2025,12,Sep,148519037752.02,780955927779.5801,0.19017595291745906,228.2111435009509,100.0,True
